header,title,descripcion,marca,categoria,ean,peso,unidades,precio,imagen
Pala-plana-para-de-jardin-mango-de-madera-y-acero-de-carbono-114cm,Pala plana para de jardin mango de madera y acero de carbono 114cm,Pala plana de jardin con mango de madera y acero de carbono 114cm,PRO GARDEN,Jardín,5709386977252,1538,14,19.95,https://api.elektro3.com/images/products/74738.jpg
Pala-con-punta-para-jardin-mango-de-madera-y-acero-de-carbono-114cm,Pala con punta para jardin mango de madera y acero de carbono 114cm,Pala con punta para jardin mango de madera y acero de carbono 114cm,PRO GARDEN,Jardín,5709386977269,1570,47,19.95,https://api.elektro3.com/images/products/74739.jpg
Perforadora-de-jardin-ø15cm-acero,Perforadora de jardin ø15cm acero,Perforadora de jardin ø15cm acero 120cm altura con mango de 39cm,PRO GARDEN,Jardín,5709386975678,2574,37,31.95,https://api.elektro3.com/images/products/74735.jpg
Mini-pala-plegable-multifuncional,Mini pala plegable multifuncional,"Mini pala plegable multifuncional. herramienta perfecta para acampar al aire libre. 41,5x4,5x9,5cm",PRO GARDEN,Jardín,8718375334577,442,61,9.99,https://api.elektro3.com/images/products/08395.jpg
"Azada-16x22,5cm","Azada 16x22,5cm","Azada 16x22,5cm",PRO GARDEN,Jardín,8711252921990,268,0,4.45,https://api.elektro3.com/images/products/90367.jpg
Caja-de-compostaje-380l-negra,Caja de compostaje 380l negra,Caja de compostaje 380l negra 82.6x71.9x71.9cm peso aprox. 5.45kg,PRO GARDEN,Jardín,8711252078656,6000,18,59.95,https://api.elektro3.com/images/products/90368.jpg
Casita-para-pajaros-de-madera-22cm,Casita para pajaros de madera 22cm,"Casita para pajaros de madera 15,5x13x22cm",PRO GARDEN,Jardín,8719202551440,300,62,11.25,https://api.elektro3.com/images/products/06298.jpg
"Tutor-de-bamboo-para-plantas-1,1x120cm","Tutor de bamboo para plantas 1,1x120cm","Tutor de bamboo para plantas 1,1x120cm",PRO GARDEN,Jardín,5709388102294,68,571,1.35,https://api.elektro3.com/images/products/73692.jpg
"Tutor-de-bamboo-para-plantas-1,1x150cm","Tutor de bamboo para plantas 1,1x150cm","Tutor de bamboo para plantas 1,1x150cm",PRO GARDEN,Jardín,5709386102302,54,390,1.55,https://api.elektro3.com/images/products/73693.jpg
"Tutor-de-bamboo-para-plantas-1,1x180cm","Tutor de bamboo para plantas 1,1x180cm","Tutor de bamboo para plantas 1,1x180cm",PRO GARDEN,Jardín,5709386102319,110,1000,1.75,https://api.elektro3.com/images/products/73694.jpg
